long,lat
-77.21897388,38.79741704
-77.12324864,38.84850822
-77.25979519,38.87199824
-77.28979025,38.75972443
-77.40617533,38.94759256
-77.15577185,38.7994559
-77.40973293,38.94487973
-77.1955804,38.92622252
-77.16619532,38.80506703
-77.30413645,38.74064926
-77.08608962,38.77392157
-77.08608962,38.77392157
-77.36381134,38.95817433
-77.33470865,38.80136984
-77.20553397,38.7643166
-77.29551516,38.83667216
-77.34289062,38.94698668
-77.08668359,38.74372118
-77.2164229,38.94018186
-77.13383345,38.84588582
-77.07864082,38.79580055
-77.225942,38.80023899
-77.16924627,38.82981629
-77.24247544,38.85808401
-77.44977353,38.85188352
-77.26344919,38.86379879
-77.18073461,38.77777064
-77.35295476,38.97729013
-77.07584015,38.76006683
-77.17722719,38.77773113
-77.1007599,38.74114392
-77.07167892,38.79296986
-77.21077452,38.86323222
-77.35686624,38.95261521
-77.24830122,38.92679588
-77.42371338,38.95050032
-77.4237546,38.94775482
-77.18684633,38.82726849
-77.17732826,38.77224009
-77.27014321,38.88309102
-77.34448382,38.8481484
-77.35686624,38.95261521
-77.36372429,38.96366526
-77.13383345,38.84588582
-77.18900175,38.70921074
-77.21340022,38.91268907
-77.38354095,39.04623054
-77.1913069,38.77514302
-77.1783612,38.90680815
-77.360295,38.95814029
-77.14064696,38.85694915
-77.17750063,38.95348025
-77.18744856,38.79432246
-77.38885147,38.93095471
-77.21863107,38.81663568
-77.10442538,38.73294918
-77.18078501,38.77502512
-77.07874945,38.79030962
-77.4460608,38.86557992
-77.26714952,38.8528537
-77.16650114,38.78859402
-77.07529592,38.78752159
-77.43160471,38.89290852
-77.24136811,38.9212299
-77.28928151,38.78992567
-77.27379659,38.87489127
-77.14926912,38.95865124
-77.06236334,38.73244075
-77.3805784,39.0105066
-77.43960504,38.82707858
-77.07178809,38.78747893
-77.25496221,38.74562939
-77.15267534,38.77745162
-77.44953246,38.86835695
-77.21585811,38.77541444
-77.42478411,38.87911667
-77.3024443,38.84223507
