long,lat
-73.957351,40.681484
-73.935536,40.832483
-73.974671,40.724562
-73.762054,40.692383
-73.946107,40.757392
-73.961348,40.676942
-73.956773,40.692884
-73.963709,40.673652
-73.97132,40.789582
-73.792296,40.699658
-73.757059,40.598789
-73.937195,40.693752
-73.766897,40.682354
-73.795174,40.667063
-73.792881,40.695327
-73.945953,40.678249
-74.078303,40.635287
-73.932509,40.773223
-73.925424,40.663294
-73.933104,40.850505
-73.880064,40.667509
-73.808627,40.701715
-73.942865,40.821542
-73.805515,40.701881
-73.985751,40.72282
-73.89004,40.675766
-73.97275,40.693334
-73.941608,40.651097
-73.939666,40.703947
-73.950778,40.800337
-73.95311,40.819415
-73.742875,40.659038
-73.861121,40.679148
-73.919057,40.619525
-73.968828,40.648804
-73.96361,40.688556
-73.911963,40.679505
-73.937557,40.797112
-73.947928,40.727268
-73.91132,40.691935
-73.996057,40.741164
-73.982477,40.71829
-73.932726,40.668797
-73.885152,40.755671
-73.982043,40.641708
-73.945137,40.703593
-73.957813,40.642976
-73.934275,40.774994
-73.962018,40.5761
-73.921398,40.70043
-73.804195,40.707219
-73.939854,40.632135
-73.923749,40.664378
-73.984146,40.680431
-73.932228,40.772663
-73.938056,40.805626
-73.759743,40.713252
-73.876102,40.667876
-73.984636,40.759022
-73.831763,40.764117
-74.081923,40.623955
-73.902644,40.698014
-73.996057,40.636379
-73.949464,40.680507
-73.978521,40.591819
-73.961616,40.666695
-73.831554,40.754081
-73.797287,40.674744
-73.910497,40.693075
-73.964861,40.581009
-73.941996,40.81469
-73.88307,40.660178
-73.92558,40.668585
-73.799073,40.597623
-73.937551,40.598639
-73.896809,40.668434
-73.748354,40.596394
-73.921846,40.684365
-73.985697,40.773218
-73.760983,40.693844
-73.754864,40.713576
-73.753334,40.707373
-73.938155,40.841855
-73.944827,40.616046
-73.944945,40.809348
-73.893528,40.6784
-73.722833,40.73726
-73.949575,40.680984
-73.800874,40.675878
-73.953532,40.668489
-73.924595,40.677719
-73.907182,40.67817
-73.95498,40.808527
-73.904179,40.743354
-73.942729,40.631957
-73.906703,40.682877
-73.938141,40.70387
-73.894969,40.73916
-73.948022,40.652825
-73.923053,40.661026
-73.895558,40.667816
-73.893033,40.675533
-73.737121,40.769786
-73.960792,40.653871
-73.797602,40.691002
-73.99148,40.742243
-73.953908,40.692216
-73.987689,40.714178
-73.954364,40.64026
-73.954364,40.64026
-73.962865,40.653535
-73.921618,40.633276
-73.787866,40.589215
-73.928164,40.657273
-73.96857,40.798898
