lat,long
39.79768,-120.13965
37.45688,-120.34936
37.7241,-121.72884
39.74323,-120.58022
36.82523,-119.70292
38.87545,-120.16918
38.51268,-122.09719
39.79572,-121.23829
38.48102,-122.37331
33.33726,-117.13003
37.76381,-119.84546
37.78882,-120.9091
34.93525,-119.61513
33.99112,-118.42119
33.86557,-118.09118
39.71682,-123.35335
37.84604,-118.64791
32.98421,-116.70919
33.83307,-118.31924
34.0389,-118.89009
37.89298,-120.84688
33.43558,-117.32615
37.35327,-122.18163
36.74773,-119.77237
39.39407,-120.74161
34.45749,-120.37766
39.06989,-122.09164
36.17384,-119.03621
37.54034,-118.93023
33.79224,-118.31507
36.50663,-121.44438
38.59019,-122.84777
37.56382,-121.17938
37.70049,-123.01361
35.28888,-115.10331
39.49155,-123.21473
36.28495,-119.28789
37.50216,-120.23824
38.0702,-122.53859
35.74023,-119.13872
32.64006,-116.93752
36.87799,-118.55177
38.57324,-122.43026
35.72746,-117.19477
37.19493,-118.67122
36.77106,-118.89455
36.70023,-121.03241
34.32056,-119.10788
35.57247,-120.56905
34.52105,-117.98531
36.9069,-121.63161
33.64891,-117.50643
38.60018,-121.55246
36.6844,-121.80217
38.36686,-120.79605
37.16133,-122.24497
34.1689,-117.19976
37.17411,-121.84301
37.59855,-122.38719
35.94746,-120.00347
34.14112,-117.82034
35.37636,-120.86435
38.93629,-121.02467
32.80478,-115.57166
39.42711,-121.60525
38.98685,-120.22463
39.50185,-120.54966
38.24797,-120.71243
39.33907,-120.13575
38.14159,-121.24356
36.00719,-120.50042
36.44995,-119.18817
36.82883,-117.03423
38.53491,-122.71971
39.67461,-121.52053
32.80672,-115.39749
32.8181,-117.10253
33.04893,-115.51277
37.96242,-122.55498
35.42607,-118.97427
38.64768,-120.68576
36.56356,-119.06789
37.8977,-120.14574
38.43797,-122.46054
36.56745,-119.61041
37.59299,-121.99829
34.1789,-118.26619
37.78298,-122.26802
36.90827,-121.60805
37.98409,-120.38214
36.18273,-119.08038
34.5761,-114.54332
34.80082,-120.00903
37.61993,-121.92246
36.42355,-118.64343
38.17325,-122.07886
34.47583,-117.28088
34.19195,-118.35091
38.27242,-122.43859
39.80435,-120.17826
35.19746,-118.53787
38.59102,-121.43523
38.7124,-120.9505
39.21824,-120.47493
41.19517,-120.03438
40.87708,-123.39338
41.16541,-123.21532
41.46432,-121.7925
40.82682,-122.51029
41.82567,-124.18869
40.87736,-123.63255
41.27459,-122.93281
41.94539,-123.85396
41.99516,-121.42027
41.92432,-121.80278
41.13461,-121.0308
41.21489,-121.13525
41.1896,-121.7361
41.54679,-124.06646
40.13487,-123.35586
40.48236,-124.10088
40.43097,-124.40283
41.38929,-124.00952
41.55875,-123.26503
40.1074,-120.49022
40.97624,-123.96256
40.26468,-121.70046
34.58694,-118.08583
33.89111,-118.20722
37.66222,-122.08139
34.06167,-117.75278
37.3523,-121.9707
37.7877,-122.4119
34.05308,-118.24749
34.32,-119.381
36.3307,-119.6477
40.7972,-124.1625
35.22361,-119.26278
37.37534,-121.85805
37.60222,-121.87194
38.5775,-121.52611
36.77826,-119.41793
37.2025,-121.93944
39.3863,-120.09909
36.06495,-119.56096
37.91215,-121.95802
37.71076,-121.72856
33.05476,-114.8283
39.1745,-123.01557
34.83805,-115.33998
38.45824,-120.0463
38.24936,-119.95129
37.79409,-122.27775
38.20825,-122.30608
34.24084,-118.22674
38.74296,-122.68443
38.74157,-122.14803
35.97717,-118.47592
37.67993,-121.03716
37.98465,-122.61081
34.58777,-119.94903
33.17254,-116.20501
33.02087,-114.68885
37.31994,-121.87718
37.30244,-122.02496
35.42857,-119.01871
34.08556,-117.95229
35.30525,-120.20265
38.82629,-120.73132
39.4185,-121.27885
33.86946,-117.88561
37.08771,-118.66872
35.36897,-118.67317
37.27626,-118.04355
33.1592,-117.25559
36.31995,-119.64346
38.42047,-121.52718
36.38496,-120.73656
38.88722,-121.01472
39.21739,-121.07634
38.28936,-122.29025
39.10657,-120.58826
38.49296,-122.46609
38.8099,-122.55943
35.72927,-118.05638
35.33829,-118.59509
39.04344,-122.59384
39.49767,-121.28607
34.2,-118.13174
33.70696,-117.36449
34.56825,-118.08017
36.80577,-118.20287
35.00248,-117.69895
36.60357,-121.89634
38.46297,-120.4202
38.73324,-121.16411
39.83322,-121.16774
37.86576,-122.25525
34.06307,-116.80835
32.76227,-117.14587
37.84548,-120.96577
32.79672,-115.68306
39.21545,-121.66164
39.53628,-120.85106
33.42596,-115.68624
39.13934,-122.49026
38.67852,-121.78108
37.30403,-118.90076
33.97089,-118.03769
36.29495,-119.14038
35.38329,-119.08316
36.41133,-118.51035
36.29134,-119.14372
39.53989,-120.88439
37.98992,-122.78916
38.45658,-122.71943
39.33684,-120.79494
34.00556,-115.68166
38.46519,-121.64135
39.70988,-121.54469
38.67018,-122.12275
38.17436,-120.40353
38.9288,-123.67613
37.52021,-121.95024
38.50241,-123.00055
39.6124,-120.40104
38.58352,-121.49746
39.8871,-123.08945
34.44305,-119.85181
33.70002,-117.77839
32.77472,-114.58208
35.51773,-118.5187
32.717,-117.09836
39.42516,-122.42304
38.15103,-120.81077
34.18834,-118.31286
39.16691,-120.14382
38.40019,-122.82638
36.01273,-120.09847
37.92965,-120.15019
33.9789,-118.22229
37.39688,-120.84993
39.601,-121.36219
38.48296,-120.51993
35.36331,-120.68573
34.48694,-119.54096
37.43278,-119.30083
39.22211,-122.675
34.19303,-118.17898
36.72578,-119.91932
39.31102,-120.43215
37.26328,-119.22234
38.77018,-120.58576
38.14853,-119.16043
36.58036,-121.87762
34.3625,-119.05566
35.44496,-118.32841
36.30755,-118.40445
39.2949,-120.51132
38.10992,-122.5797
39.10546,-120.51465
36.5205,-119.05261
38.42658,-122.58165
38.04881,-122.15302
38.29825,-122.29859
39.47044,-121.30135
37.44855,-121.90023
37.35022,-120.17962
38.48157,-121.44301
39.72933,-121.14551
38.7524,-122.61499
38.19158,-119.65434
35.85615,-118.64719
34.18652,-118.33189
35.2797,-120.66489
36.36217,-119.34484
34.43833,-118.60564
39.43185,-120.02548
35.45524,-117.78534
39.99029,-121.3197
32.67256,-115.41138
38.6549,-121.18134
39.01407,-120.35881
38.40014,-122.82893
36.96939,-122.0133
38.11742,-122.57415
36.40273,-119.83403
34.14223,-117.91395
37.80493,-122.3008
33.80696,-117.95006
37.20106,-122.05496
32.73534,-116.20974
39.39517,-121.08134
39.48267,-120.88078
32.95254,-115.36193
37.23643,-118.74015
38.54796,-121.53357
32.567,-117.00475
37.76347,-122.43055
37.47767,-119.18999
35.81441,-121.09047
37.98076,-120.32408
36.53857,-121.48411
35.63968,-118.61759
34.41527,-118.79426
37.19383,-121.54994
37.63465,-119.77573
35.3683,-117.63534
32.70811,-117.11586
32.87588,-115.40638
36.04912,-117.07616
32.60173,-116.46918
37.5341,-120.20768
38.86352,-120.44131
32.552,-117.04308
38.66742,-120.01248
33.74807,-118.29785
38.84213,-122.98889
37.92965,-122.53442
37.73965,-121.13966
37.69826,-120.41603
34.22223,-119.1715
37.68993,-122.05524
38.42019,-120.13325
37.62521,-122.07413
36.95523,-122.02552
33.62724,-117.82033
37.80187,-122.22191
39.62101,-120.60522
34.01112,-118.29563
37.54383,-119.25318
38.20936,-120.46409
37.64382,-122.08607
36.83968,-121.29493
37.86687,-122.49831
34.0264,-118.37202
33.68752,-117.0003
37.53355,-119.01263
38.94963,-119.9624
39.53989,-121.68803
39.95543,-123.37252
39.58766,-123.37057
35.35238,-119.99062
33.79974,-118.1634
34.52027,-118.39064
36.7555,-119.80903
38.60456,-119.87204
36.51274,-121.93857
37.98742,-120.26102
38.96074,-120.43798
37.0957,-119.05526
35.13469,-119.45623
37.63743,-122.09469
37.57188,-119.65794
37.87384,-122.52776
36.01051,-120.12986
38.80296,-120.89188
38.45241,-121.78607
37.27078,-119.71321
38.67435,-122.50609
37.65549,-121.04605
35.82108,-116.09169
37.7366,-122.15274
33.73946,-117.832
37.62688,-121.88135
33.80502,-118.35118
38.00853,-122.09608
36.55341,-118.77342
38.51657,-121.42829
38.54935,-121.7858
33.1356,-117.0617
34.52666,-119.14983
32.80006,-115.60305
34.50805,-119.2915
37.288,-119.44013
36.72217,-120.06766
33.02516,-114.52337
37.04911,-119.93377
33.78835,-118.33757
37.14773,-119.67292
34.17834,-118.28258
32.77116,-115.34193
32.78505,-115.27831
33.92668,-117.90923
37.67016,-121.33032
38.71629,-122.56859
34.93379,-119.44819
34.99747,-118.84704
34.76887,-118.23619
34.12945,-117.4481
38.6974,-121.38217
33.91585,-118.23035
33.67141,-114.6244
33.82696,-118.05506
34.13389,-118.7037
35.0708,-119.62207
33.72557,-117.82617
37.93326,-121.25689
36.61912,-119.41512
34.27972,-119.29595
33.76335,-117.95839
34.05418,-117.18393
39.59655,-121.58442
35.28358,-119.72179
38.56602,-121.32412
37.75085,-122.49678
38.54407,-121.74774
38.94908,-123.71085
36.0233,-121.42993
34.10334,-118.28341
32.72838,-117.2567
35.11942,-120.59295
33.92501,-117.65533
34.94414,-118.82482
34.60943,-119.38484
39.56544,-123.76724
33.73891,-118.38091
33.74168,-118.37841
33.34336,-118.31702
37.93798,-122.7661
39.66766,-123.79196
33.55391,-117.8195
37.05383,-120.82769
36.8444,-121.53939
39.99656,-120.57494
37.38632,-118.78484
39.02045,-121.62552
35.07636,-119.7018
35.55692,-121.10436
36.77217,-119.0165
39.0201,-121.60928
39.02239,-122.44526
36.23052,-121.46577
38.11742,-122.95333
37.97631,-120.62243
34.82332,-119.8643
37.53045,-122.30962
34.87109,-119.8168
37.42772,-121.90801
36.31024,-120.75851
38.74657,-120.74854
36.97799,-118.25343
36.9616,-118.23621
34.11556,-118.28896
34.82276,-119.86264
33.97835,-117.32532
37.8752,-119.89935
36.8941,-118.06981
36.14551,-119.05371
39.1473,-122.63209
37.42744,-120.9691
32.98338,-117.06003
33.97113,-117.36616
34.22778,-118.25258
33.98612,-118.04118
33.83835,-117.89867
33.74113,-117.90172
33.61002,-117.86061
33.73447,-116.37279
38.5713,-121.31328
34.07723,-117.31699
34.12279,-117.28865
38.44086,-122.73639
34.07501,-118.20368
32.70311,-117.09086
37.74731,-122.48099
37.32894,-121.92437
34.05362,-117.18365
34.41414,-116.6248
38.8499,-120.98105
34.67721,-118.4598
36.96466,-118.22593
39.07157,-120.54048
32.98143,-117.0617
38.69185,-121.41051
36.79384,-119.76264
36.7305,-119.78237
35.31718,-119.02816
34.38333,-117.37199
37.73715,-121.4305
38.63296,-121.43023
34.0339,-117.03975
34.64526,-120.47239
38.50685,-121.4544
32.76367,-115.4711
38.71268,-121.85663
32.77478,-115.4736
33.8824,-117.8976
34.19778,-118.87537
32.76644,-115.49444
32.77756,-115.49194
32.75172,-115.46638
32.79672,-115.4886
32.7595,-115.48694
32.78117,-115.48194
32.7595,-115.47805
32.80922,-115.46527
32.7895,-115.47388
32.78867,-115.49055
32.80394,-115.49305
32.75228,-115.46999
33.74474,-116.96058
38.62157,-119.7824
33.93001,-118.42369
33.88335,-117.89534
37.73521,-121.12744
32.782,-115.49055
32.82089,-115.49666
32.81478,-115.49305
38.23686,-122.34386
34.08529,-118.18229
36.88745,-119.53874
36.89384,-119.54736
